Career,Science,Technology,Art,Social,Business,Nature,Description,Average Salary (USD),Education Level
Software Developer,2,5,1,2,3,1,Designs and builds software applications,"90,000",Bachelor's Degree
Graphic Designer,1,3,5,2,2,1,Creates visual concepts for communication,"50,000",Bachelor's Degree
Doctor,5,2,1,4,3,4,Provides medical care and diagnoses issues,"200,000",Medical Degree (MD)
Teacher,3,1,2,5,3,2,Educates students in a variety of subjects,"55,000",Bachelor's/Master's
Environmentalist,4,1,2,3,2,5,Works to protect the environment,"60,000",Bachelor's Degree
Business Analyst,2,3,1,2,5,1,Analyzes business data and trends,"70,000",Bachelor's Degree
Mechanical Engineer,5,4,1,2,3,2,Designs and tests mechanical devices,"85,000",Bachelor's Degree
Psychologist,2,1,2,5,3,1,Studies human behavior and mental processes,"80,000",Master's/PhD
Architect,3,2,5,3,3,2,Designs buildings and other structures,"80,000",Bachelor's/Master's
Zoologist,4,2,1,3,2,5,Studies animals and their ecosystems,"65,000",Bachelor's/Master's
Nurse,4,2,1,5,3,4,Provides patient care and medical assistance,"75,000",Bachelor's/Nursing Degree
Data Scientist,3,5,1,2,4,1,Analyzes and interprets complex data,"110,000",Master's/PhD
Lawyer,2,1,1,5,4,1,Represents clients in legal matters,"120,000",Law Degree (JD)
Marketing Manager,2,2,3,4,5,1,Develops marketing strategies for businesses,"95,000",Bachelor's Degree
Civil Engineer,5,4,1,3,4,3,Designs infrastructure like roads and bridges,"88,000",Bachelor's Degree
Chef,1,2,5,3,3,1,Prepares food in restaurants or hotels,"50,000",Culinary School
Veterinarian,5,2,1,3,2,5,Provides medical care for animals,"100,000",Veterinary Degree (DVM)
Financial Advisor,2,2,1,3,5,1,Provides financial planning advice,"90,000",Bachelor's Degree
Social Worker,3,1,2,5,2,3,Helps individuals and families with social issues,"50,000",Bachelor's/Master's
Pharmacist,5,3,1,3,4,2,Dispenses medications and advises on prescriptions,"125,000",Doctor of Pharmacy (PharmD)
